"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"PRATTVILLE YMCA SUMMER DAY CAMP";"Pine Level Elementary School, Day Camp Building, Daniel Pratt Elementary School";"972 McQueen Smith Rd. South";;"Prattville";"AL";36066;"334-358-1446";"334-361-0394";"AUTAUGA";"bestes@prattvilleymca.org";;;"Betty";"Estes";"5 – 12 ";;"http://prattvilleymca.org/";;"Monday – Friday";"7:00 A.M. – 6:00 P.M.  ";;;"The Y’s Summer Day Camp provides your child with summer adventures that promote a healthy spirit, mind and body. Your child will spend time indoors and outdoors as experienced staff lead your child in a wide variety of activities each day, including arts and crafts, archery, games, sports, swimming, off-site field trips, and more. We offer three Summer Day Camp locations to meet your needs.";;"Registration Fee: $100 per child. Members and Non-members (fee includes field trips and Camp Shirt); Weekly Fee -  1st Child: Members $75, Non-members $85; 2nd Child: Members $65, Non-members $75;  3rd Child: Members $45, Non-members $55";"NO";"YES";;
"PRATTVILLE YMCA SR. LEADERS’ CLUB";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";"jbarrett@prattvilleymca.org";;;"Jennifer";"Barrett";;;"http://prattvilleymca.org/";;"1st and 3rd Tuesday of each month";"6:30 P.M. – 8:00 P.M.";;;"Sr. Leaders’ Club offers your young person in grades 9-12 a Christian Leadership Program focused on servant leadership. Meetings are held on the 1st and 3rd Tuesday of each month from 6:30-8:00 p.m. and consist of a spirit, mind, and body element that is fun, Christian-based, and leadership building. Your Sr. Leader has the opportunity to participate in monthly volunteer service projects, monthly socials, mission trips, and a Christian leadership camp.";;;"YES";"NO";;
"PRATTVILLE YMCA GLOBAL LEADERS’ CLUB";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";"jbarrett@prattvilleymca.org";;;"Jennifer";"Barrett";;;"http://prattvilleymca.org/";;;;;;"The Prattville YMCA is excited about our youth partnership with the YMCA of Armenia. Through this partnership we are expanding the knowledge of global issues and needs to teenagers in our community and the country of Armenia. This year we will take a group of teenagers, chosen through an application and interview process, to Prague, Czech Republic for the YMCA World Youth Festival. We will partner with the youth in Armenia to accomplish a community service project in Prague and to share the love of God with people from all across the world. Our teenagers in Prattville are truly living out the Christian mission of the YMCA in our community and abroad through this program. ";;;"YES";"NO";;
"PRATTVILLE YMCA LEADERS CLUB FOR TEENS";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";"jbarrett@prattvilleymca.org";;;"Jennifer";"Barrett";;;"http://prattvilleymca.org/";;;;;;"The YMCA offers 3 Leaders’ Clubs for the community’s teenagers: Jr., Sr., and Global Leaders. The club offers our youth in grades 6-12 a Christian Leadership Program focused on servant leadership. ";;;"YES";"NO";;
"PRATTVILLE YMCA HOMESCHOOL PROGRAMS";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;;;"http://prattvilleymca.org/";;;;;;"The Y understands the need for many of our homeschool families to find productive and interactive physical education for your students. We offer a variety of physical activities for your child to participate in throughout the day. We offer Homeschool P.E., Homeschool Gymnastics, and Homeschool Swim Lessons.";;;"YES";"NO";;
"PRATTVILLE YMCA HOLIDAY GYMNASTICS CLINIC";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;"5 1/2 & up";;"http://prattvilleymca.org/";;"Monday, December 23";"9:00 A.M. – 4:00 P.M.";;;"Looking to have some fun this holiday season? Sign up for our Holiday Gymnastics Clinic. Our clinic is for boys & girls ages 5 1/2 & up.  Bring your sack lunch and enjoy a day filled with gymnastics, games & FUN!";;;"YES";"NO";;
"PRATTVILLE YMCA JR. LEADERS’ CLUB";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";"jbarrett@prattvilleymca.org";;;"Jennifer";"Barrett";;;"http://prattvilleymca.org/";;"2nd Tuesday of each month";"6:30 P.M. – 7:30 P.M.";;;"Jr. Leaders’ Club offers your young person in grades 6-8 a Christian Leadership Program focused on servant leadership. Meetings are held on the 2nd Tuesday of each month from 6:30-7:30 p.m. and consist of a spirit, mind, and body element that is fun, Christian-based, and leadership building. Your Jr. Leader has the opportunity to participate in bi-monthly volunteer service projects, bi-monthly socials, mission trips, and a Christian leadership camp.";;;"YES";"NO";;
"PRATTVILLE YMCA GYMNASTICS CAMP";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;;;"http://prattvilleymca.org/";;;;;;"FUN!! That is what our gymnastics camp is all about. Not only do we provide enthusiastic coaches, quality instruction and state-of-the art equipment—we provide FUN!! Your child will have the opportunity to learn and practice skills on all the gymnastics events and participate in camp games. Whether your child is a first time gymnastics participant or is a seasoned veteran, the Y’s gymnastics camp is the place to be!";;;"NO";"YES";;
"PRATTVILLE YMCA GYMNASTICS LOCK-INS";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;"5 1⁄2 & up";;"http://prattvilleymca.org/";;;;;;"Your child will have a blast at our gymnastics lock-ins where every month has a different, exciting theme. Your child will enjoy 3 1⁄2 hours that includes gymnastics, games & FUN! All children ages 5 1⁄2 and up are welcome to attend.";;;"YES";"NO";;
"PRATTVILLE YMCA YOUTH GYMNASTICS CLASSES";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;"5 1⁄2 & up";;"http://prattvilleymca.org/";;;;;;"Gymnastics is perhaps one of the most comprehensive “lifestyle exercise programs” available to children, incorporating strength, flexibility, speed, balance, coordination, power and discipline. The Y offers the most comprehensive gymnastics programs available to your child. We pride ourselves on teaching our participants important character development traits while they enjoy the fun and health benefits that the sport of gymnastics provides. Our class program consists of 4 levels of progressive skills (Bronze, Silver, Gold, and Level 1) for boys and girls.";;;"YES";"NO";;
