"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"IMPROVE Children Program - Loch Raven Site";;"6622 Loch Raven Blvd";;"Baltimore";"MD";21239;"410-825-3028";;"BALTIMORE CITY";;;;;;;"YES";"https://www.improvechildren.org/";;"Monday - Friday";"7:00am - 9:00am | 3:00pm - 6:45pm";;;"We are a disciplined and structured program where your child will learn and have fun. We provide an enriching environment with positive, well-educated mentors and group leaders. Through our before and after care programs, we teach our children to respect themselves as well as others. Our creative clubs give children an opportunity to express themselves positively through song and dance.﻿";"Junior Achievement Reward Program, Learning & Reading Activities, Holiday Parties, Birthdays, Educational Field Trips";"Before School Care - Standard Care Fee: $50.00 weekly, Extended Care Fee: $60.00 weekly (starting at 6:30 AM); After School Care - Standard Care Fee: $75.00 weekly, Extended Care Fee: Call for pricing (between 6:45 - 8:30 PM); Before & After School Care - Standard Care Fee: $90.00 weekly, Extended Care Fee: $100.00 weekly (starting at 6:30 AM)";"YES";"NO";"https://static.wixstatic.com/media/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg/v1/fill/w_127,h_83,al_c,q_80,usm_0.66_1.00_0.01/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg";
"IMPROVE Children Program - Abbottston Site";;"1300 Gorsuch Ave";;"Baltimore";"MD";21218;"410-825-3028";;"BALTIMORE CITY";;;;;;;;"https://www.improvechildren.org/";;"Monday - Friday";"7:00am - 8:00am | 2:40pm - 6:00pm";;;"We are a disciplined and structured program where your child will learn and have fun. We provide an enriching environment with positive, well-educated mentors and group leaders. Through our before and after care programs, we teach our children to respect themselves as well as others. Our creative clubs give children an opportunity to express themselves positively through song and dance.﻿";"Junior Achievement Reward Program, Learning & Reading Activities, Holiday Parties, Birthdays, Educational Field Trips";"Before School Care: $35.00 weekly; After School Care: $50.00 weekly; Before & After School Care: $65.00 weekly";"YES";"NO";"https://static.wixstatic.com/media/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg/v1/fill/w_127,h_83,al_c,q_80,usm_0.66_1.00_0.01/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg";
"IMPROVE Children Program - Halstead Site";;"1111 Halstead Rd";;"Parkville";"MD";21234;"410-825-3028";;"BALTIMORE";;;;;;;"YES";"https://www.improvechildren.org/";;;;;;"We are a disciplined and structured program where your child will learn and have fun. We provide an enriching environment with positive, well-educated mentors and group leaders. Through our before and after care programs, we teach our children to respect themselves as well as others. Our creative clubs give children an opportunity to express themselves positively through song and dance.﻿";"Junior Achievement Reward Program, Learning & Reading Activities, Holiday Parties, Birthdays, Educational Field Trips";"Before School Care: $40.00 weekly; After School Care: $60.00 weekly; Before & After School Care: $75.00 weekly";"YES";"NO";"https://static.wixstatic.com/media/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg/v1/fill/w_127,h_83,al_c,q_80,usm_0.66_1.00_0.01/d25800_2f0cfe5d6bcd4159b7694f7e8858bd9d~mv2.jpg";
"After School Adventure";;"12920 Twinbrook Parkway";;"Rockville";"MD";20851;"240-314-8620";;"MONTGOMERY";;;;;;;"YES";"http://www.rockvillemd.gov/";;"Monday - Friday";"3:00pm - 6:30pm";;;"This program provides children with a safe and fun environment. Computer lab, crafts, organized games and other enrichment activities are offered. Transportation is provided from Meadow Hall Elementary School and Twinbrook Elementary School. Program operates when school is in session for full day; does not meet on early release days.";;;"YES";"NO";;
"Twinbrook After School Club";;"5911 Ridgway Ave";;"Rockville";"MD";20851;"240-314-8620";;"MONTGOMERY";;;;;;;;"http://www.rockvillemd.gov/";;"Monday - Friday";"3:40pm - 6:30pm";;;"Join us after school for activities that focus on recreation, fitness and fun. Homework help is included and a healthy snack is provided daily. The program will meet on MCPS early release days but will not be held on non-school days. Come join the fun!";;;"YES";"NO";;
"Clubhouse After School";;"357 Frederick Avenue";;"Rockville";"MD";20850;"240-314-8620";;"MONTGOMERY";;;;;;;"YES";"http://www.rockvillemd.gov/";;"Monday - Friday";"3:30pm - 6:30pm";;;"This drop-in, after school program is designed for children to spend time learning, creating and exploring. Van transportation is provided from Maryvale Elementary School. All other local schools are transported by MCPS request. Homework time, snack, crafts and games are scheduled daily. Field trips and special events are held throughout the year. Lets Move! fitness days are incorporated into the program. This program meets on all school days including early release days; and does not meet on non-school days.";;;"YES";"NO";;
"Teen Scene";;"12920 Twinbrook Parkway";;"Rockville";"MD";20851;"240-314-8620";;"MONTGOMERY";;;;;;;"YES";"http://www.rockvillemd.gov/";;"Monday - Friday";"3:00pm - 6:30pm";;;"For 5-8 grade students. Participants will have study time and can choose from a wide range of recreational activities with guidance and supervision by staff members. Transportation is available from Julius West and Wood MS and Twinbrook and Meadow Hall ES. Program does not meet on MCPS non-school or early release days.";;;"YES";"NO";;
"Totally Teens";;"700 Fallsgrove Drive";;"Rockville";"MD";20850;"240-314-8620";;"MONTGOMERY";;;;;;;"YES";"http://www.rockvillemd.gov/";;"Monday - Friday";"3:15pm - 6:30pm";;;"For 6-10 grade students. Homework help, community service projects, sports, arts, dance, video games, ping pong and special interest clubs are just a few things happening at Totally Teens. There are two fee options to choose from; one includes a daily snack for your child and the other fee does not.  Transportation from Julius West Middle School is provided by MCPS. This program meets on all school days including early release days; and does not meet on nonschool days. ";;;"YES";"NO";;
"Child First Authority @ Barclay Elementary/Middle School";;"2900 Barclay St";;"Baltimore";"MD";21218;"410-367-8520";;"BALTIMORE CITY";"cfamain@childfirstauthority.org";;;;;;;"http://childfirstauthority.org/";;;;;;"Child First Authority (CFA) provides funding to (1) organize high quality, after school and in-school programs in Baltimore City Public Schools, (2) organize parents, school staff, and community partners to act on their vision of a brighter future for BCPS children. CFA was established in 1996 in response to a community organizing campaign by its founding partner BUILD (Baltimoreans United in Leadership Development).  Hundreds of citizens expressed the need for safe space, academic achievement, and opportunity for children in Baltimore City Schools. Throughout the years, CFA has built relationships with community organizations and educational institutions. CFA works with students and families to ensure that students (1) attend school at a high rate, (2) have access to project-based learning opportunities in Science, Technology, Engineering and Math (STEM), and (3) have access to professional art instruction and cultural instruction. Today, CFA partners with 11 schools throughout Baltimore City for after school programming, including 8 community school partnerships.";;;"YES";"NO";"http://childfirstauthority.org/wp-content/uploads/2017/05/cropped-cfa-color-logo-resized-2-e1502294152357.jpg";
"Child First Authority @ Calvin M. Rodwell Elementary School";;"3501 Hillsdale Rd";;"Baltimore";"MD";21207;"410-367-8520";;"BALTIMORE CITY";"cfamain@childfirstauthority.org";;;;;;;"http://childfirstauthority.org/";;;;;;"Child First Authority (CFA) provides funding to (1) organize high quality, after school and in-school programs in Baltimore City Public Schools, (2) organize parents, school staff, and community partners to act on their vision of a brighter future for BCPS children. CFA was established in 1996 in response to a community organizing campaign by its founding partner BUILD (Baltimoreans United in Leadership Development).  Hundreds of citizens expressed the need for safe space, academic achievement, and opportunity for children in Baltimore City Schools. Throughout the years, CFA has built relationships with community organizations and educational institutions. CFA works with students and families to ensure that students (1) attend school at a high rate, (2) have access to project-based learning opportunities in Science, Technology, Engineering and Math (STEM), and (3) have access to professional art instruction and cultural instruction. Today, CFA partners with 11 schools throughout Baltimore City for after school programming, including 8 community school partnerships.";;;"YES";"NO";"http://childfirstauthority.org/wp-content/uploads/2017/05/cropped-cfa-color-logo-resized-2-e1502294152357.jpg";
