name;location;address;address2;city;state;zip;phone;phone_ext;county;email;status;type;contact_firstname;contact_lastname;age_range;transportation;website;accreditation;daysopen;hoursopen;typeofcare;language;introduction;additionalInfo;pricing;is_afterschool;is_camp;logo;schools_served
BOYS AND GIRLS CLUB OF FAULKNER COUNTY - BOB NABHOLZ UNIT;;1405 Robins Street;;Conway;AR;72034;501-329-8849;;FAULKNER;Liberty@conwaycorp.net;;;Liberty;Parks;;;http://bgcfaulkner.org/;;Monday–Friday;"School Year: 3:00 p.m. – 7:00 p.m; Summer Session: 8:00 a.m. – 5:30 p.m.";;;The Boys & Girls Club of Faulkner County provides young people with a safe, supervised and positive place to spend their time after school and during the summer. In our neighborhood Clubs, children are engaged in safe, educational and fun activities that help them develop the skills necessary to be successful in life.;;;YES;NO;http://smithknighthost.com/bgcfaulkner/wp-content/uploads/2012/03/bgc_logo.png;
BOYS AND GIRLS CLUB OF FAULKNER COUNTY -  GRACE UNIT;;1075 Hogan Lane;;Conway;AR;72034;501-472-2310;;FAULKNER;Foster@conwaycorp.net;;;Darryl;Foster;;;http://bgcfaulkner.org/;;Monday–Friday;"School Year: 3:00 p.m. – 7:00 p.m; Summer Session: 8:00 a.m. – 5:30 p.m.";;;The Boys & Girls Club of Faulkner County provides young people with a safe, supervised and positive place to spend their time after school and during the summer. In our neighborhood Clubs, children are engaged in safe, educational and fun activities that help them develop the skills necessary to be successful in life.;;;YES;NO;http://smithknighthost.com/bgcfaulkner/wp-content/uploads/2012/03/bgc_logo.png;
BOYS AND GIRLS CLUB OF FAULKNER COUNTY - ANNA HUDSON - MAYFLOWER UNIT;;4 Cove Lane;;Mayflower;AR;72106;501-269-0495;;FAULKNER;Catherine@conwaycorp.net;;;Catherine;Santoro;;;http://bgcfaulkner.org/;;Monday–Friday;"School Year: 3:00 p.m. – 7:00 p.m; Summer Session: 8:00 a.m. – 5:30 p.m.";;;The Boys & Girls Club of Faulkner County provides young people with a safe, supervised and positive place to spend their time after school and during the summer. In our neighborhood Clubs, children are engaged in safe, educational and fun activities that help them develop the skills necessary to be successful in life.;;;YES;NO;http://smithknighthost.com/bgcfaulkner/wp-content/uploads/2012/03/bgc_logo.png;
BOYS & GIRLS CLUB OF BRYANT;;6401 Boone Road;;Bryant;AR;72022;501-943-0056;;SALINE;bryantbgcinfo@gmail.com;;;;;;;http://www.bryantbgc.org/;;Monday–Friday;3:15 p.m. - 6 p.m;;;The Boys & Girls Club of Bryant started as the Bryant Youth Association in 2004 and received its charter from Boys & Girls Clubs of America in February 2005. The Club began as a campus-based program, housed at Bryant Elementary, until the new Bishop Park complex was built. The Boys & Girls Club of Bryant has been at its new home at Bishop Park since August 2010. Our organization has served more than 4,000 Bryant youth through our After-School Programs, Summer Programs and Flag Football leagues.;;Program Fees: $225 per child. There will be NO CHARGE for students enrolled in the Bryant School District Free/Reduced Lunch program. ;YES;NO;;
BOYS & GIRLS CLUBS OF THE ARKANSAS RIVER VALLEY - DARDANELLE ;;204 West St.;;Dardanelle;AR;72834;479-229-2982;;YELL;;;;Charlotte;McNeely;6–18;;http://www.bgcarv.org/;;Monday–Friday;3pm - 6pm;;;"The Boys & Girls Club seeks to... “Inspire and enable all young people to realize their full potential as productive, responsible, and caring citizens.” CORE BELIEFS: A Safe place to learn & grow; Ongoing relationships with caring, adult professionals; Life-enhancing programs; Character development experiences; Hope & Oppurtunity";;;YES;NO;;
FORT SMITH BOYS & GIRLS CLUBS - EVANS BOYS & GIRLS CLUB;;6015 Boys Club Lane;;Fort Smith;AR;72908;479-646-9519;;SEBASTIAN;thiggins@fsbgc.org;;;Tim;Higgins;6–18;YES;http://www.fsbgc.org/;;Monday–Friday;"After school: 3 p.m. - 7 p.m.; Summer Program:  9 a.m. - 5 p.m.";;;The Fort Smith Boys & Girls Clubs mission is to help youth of all backgrounds develop qualities needed to become responsible citizens and leaders. Through our association with Boys & Girls Clubs of America, we seek to enhance the quality of life for the youth of our community.;;;YES;NO;http://www.fsbgc.org/images/FSBGC_logos/LOGO_640.png;
FORT SMITH BOYS & GIRLS CLUBS - GOLDTRAP BOYS & GIRLS CLUB;;8800 Dallas Street;;Fort Smith;AR;72903;479-452-5779;;SEBASTIAN;creeder@fsbgc.org;;;Chris;Reeder;6–18;YES;http://www.fsbgc.org/;;Monday–Friday;"After school: 3 p.m. - 7 p.m.; Summer Program:  9 a.m. - 5 p.m.";;;The Fort Smith Boys & Girls Clubs mission is to help youth of all backgrounds develop qualities needed to become responsible citizens and leaders. Through our association with Boys & Girls Clubs of America, we seek to enhance the quality of life for the youth of our community.;;;YES;NO;http://www.fsbgc.org/images/FSBGC_logos/LOGO_640.png;
FORT SMITH BOYS & GIRLS CLUBS - JEFFREY BOYS & GIRLS CLUB;;4905 North ‘O’ Street;;Fort Smith;AR;72904;479-782-8126;;SEBASTIAN;jtwest@fsbgc.org;;;J.T.;West;6–18;YES;http://www.fsbgc.org/;;Monday–Friday;"After school: 3 p.m. - 7 p.m.; Summer Program:  9 a.m. - 5 p.m.";;;The Fort Smith Boys & Girls Clubs mission is to help youth of all backgrounds develop qualities needed to become responsible citizens and leaders. Through our association with Boys & Girls Clubs of America, we seek to enhance the quality of life for the youth of our community.;;;YES;NO;http://www.fsbgc.org/images/FSBGC_logos/LOGO_640.png;
FORT SMITH BOYS & GIRLS CLUBS - STEPHENS BOYS & GIRLS CLUB;;3101 North 6th Street;;Fort Smith;AR;72904;479-782-6392;;SEBASTIAN;rgrooms@fsbgc.org;;;Roneka;Groooms;6–18;YES;http://www.fsbgc.org/;;Monday–Friday;"After school: 3 p.m. - 7 p.m.; Summer Program:  9 a.m. - 5 p.m.";;;The Fort Smith Boys & Girls Clubs mission is to help youth of all backgrounds develop qualities needed to become responsible citizens and leaders. Through our association with Boys & Girls Clubs of America, we seek to enhance the quality of life for the youth of our community.;;;YES;NO;http://www.fsbgc.org/images/FSBGC_logos/LOGO_640.png;
BOYS & GIRLS CLUB OF WESTERN BENTON COUNTY - SILOAM SPRINGS;;655 Heritage Court;;Siloam Springs;AR;72761;479-524-4174;;BENTON;;;;;;;;http://www.bgcwbc.org/;;Monday-Friday;3:00-7:00 pm;;;Vision: We envision a future in which the Boys & Girls Club Movement is a catalyst for an age in which success is within reach of every child, and whole generations of children are inspired to a level of civic engagement not seen since the founding of our nation. Mission: To encourage and empower all young people to reach their full potential as productive, caring, responsible citizens.;;;YES;NO;;
