"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"YMCA Before & After School @ Bridgeport Elementary";;"9035 West Morris St.";;"Indianapolis";"IN";46231;"317-605-2111";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"6:30am - 6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"Before Care (AM): 1-2 Days Weekly: $27,  3-5 Days Weekly: $35; After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57; Before & After Care:  1-2 Days Weekly: $49,  3-5 Days Weekly: $80";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Chapel Glen Elementary";;"701 Lansdowne Rd.";;"Indianapolis";"IN";46234;"317-607-2636";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Chapelwood Elementary";;"1129 N. Girls School Road";;"Indianapolis";"IN";46214;"317-403-0134";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Garden City Elementary";;"4901 Rockville Road";;"Indianapolis";"IN";46224;"317-607-2343";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA Before & After School @ McClelland Elementary";;"6740 W. Morris St.";;"Indianapolis";"IN";46241;"317-607-2638";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"6:30am - 6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"Before Care (AM): 1-2 Days Weekly: $27,  3-5 Days Weekly: $35; After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57; Before & After Care:  1-2 Days Weekly: $49,  3-5 Days Weekly: $80";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ North Wayne Elementary";;"6950 West 34th Street";;"Indianapolis";"IN";46214;"317-607-2642";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Rhoades Elementary";;"502 S. Auburn";;"Indianapolis";"IN";46241;"317-607-2635";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA Before & After School @ Robey Elementary";;"8700 W. 30th Street";;"Indianapolis";"IN";46234;"317-607-2640";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"6:30am - 6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"Before Care (AM): 1-2 Days Weekly: $27,  3-5 Days Weekly: $35; After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57; Before & After Care:  1-2 Days Weekly: $49,  3-5 Days Weekly: $80";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Stout Field Elementary";;"3820 West Bradbury Ave.";;"Indianapolis";"IN";46241;"317-919-5107";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA After School @ Westlake Elementary";;"271 N. Sigsbee Street";;"Indianapolis";"IN";46214;"317-403-1879";;"MARION";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"End Of The School Day-6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $57";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";
"YMCA Before & After School @ Clarks Creek Elementary";;"401 Elm Dr.";;"Plainfield";"IN";46168;"317-919-6059";;"HENDRICKS";"beforeandafterschool@indymca.org";;;;;;;"https://indymca.org/";;"Monday - Friday";"6:30am - 6:00pm";;;"YMCA programs include the following components: healthy snack, homework help, physical activity, arts & crafts, STEM (science, technology, engineering, and math) activities, literacy, service learning, conflict resolution, and character development. All YMCA program staff have received a minimum of 40hours of training, and have completed a drug test and a thorough background check. YMCA program ratios are 1 staff to 15 children (1 staff to 12 children with participants under the age of 6).";;"Before Care (AM): 1-2 Days Weekly: $26, 3-5 Days Weekly: $41; After Care (PM): 1-2 Days Weekly: $34, 3-5 Days Weekly: $54; Before & After Care: 1-2 Days Weekly: $49, 3-5 Days Weekly: $79";"YES";"NO";"https://indymca.org/youth-development-center/wp-content/uploads/2016/08/indy-ymca-logo.png";"Clarks Creek Elementary; Brentwood Elementary; Central Elementary; VanBuren Elementary"
